gene_symbol	gene_entrez_id	reference_name	cds_start_min	cds_end_max
A1BG	1	19	58347021	58353436
A1CF	29974	10	50806728	50859939
A2M	2	12	9067822	9115848
A2ML1	144568	12	8822651	8875010
A3GALT2	127550	1	33306765	33321097
A4GALT	53947	22	42692889	42693950
A4GNT	51146	3	138124263	138131255
AAAS	8086	12	53307488	53321464
AACS	65985	12	125065584	125142228
AADAC	13	3	151814162	151828171
AADACL2	344752	3	151734035	151757593
AADACL3	126767	1	12716176	12725995
AADACL4	343066	1	12644546	12666734
AADAT	51166	4	170060927	170089689
AAED1	195827	9	96641758	96655280
AAGAB	79719	15	67202820	67254630
AAK1	22848	2	69475868	69643039
AAMDC	28971	11	77841185	77900685
AAMP	14	2	218264532	218270085
AANAT	15	17	76466172	76469969
AAR2	25980	20	36239868	36255744
AARD	441376	8	116938243	116942700
AARS	16	16	70252720	70282762
AARS2	57505	6	44300546	44313322
AARSD1	80755	17	42950592	42964439
AASDH	132949	4	56338401	56384298
AASDHPPT	60496	11	106077710	106096906
AASS	10157	7	122076488	122133725
AATF	26574	17	36949125	37056663
AATK	9625	17	81118401	81165991
ABAT	18	16	8735739	8781429
ABCA1	19	9	104784314	104903678
ABCA10	10349	17	69148826	69225357
ABCA12	26154	2	214932633	215138207
ABCA13	154664	7	48171483	48645511
ABCA2	20	9	137007928	137028139
ABCA3	21	16	2276673	2326465
ABCA4	24	1	93993236	94121044
ABCA5	23461	17	69247536	69314414
ABCA6	23460	17	69078972	69140702
ABCA7	10347	19	1041361	1065424
ABCA8	10351	17	68868084	68942033
ABCA9	10350	17	68975914	69051125
ABCB1	5243	7	87504242	87600183
ABCB10	23456	1	229518178	229558651
ABCB11	8647	2	168923621	169018124
ABCB4	5244	7	87402095	87475464
ABCB5	340273	7	20623285	20755623
ABCB6	10058	2	219209937	219218672
ABCB7	22	X	75053369	75156271
ABCB8	11194	7	151028466	151045348
ABCB9	23457	12	122921037	122960234
ABCC1	4363	16	15949751	16141280
ABCC10	89845	6	43427978	43450090
ABCC11	85320	16	48167273	48231920
ABCC12	94160	16	48083714	48146423
ABCC2	1244	10	99782844	99851630
ABCC3	8714	17	50634936	50691199
ABCC4	10257	13	95021574	95301313
ABCC5	10057	3	183921299	184014391
ABCC6	368	16	16150132	16223433
ABCC8	6833	11	17392990	17476775
ABCC9	10060	12	21801043	21936673
ABCD1	215	X	153725266	153743734
ABCD2	225	12	39553911	39619614
ABCD3	5825	1	94418478	94517128
ABCD4	5826	14	74286460	74302911
ABCE1	6059	4	145104412	145127572
ABCF1	23	6	30571487	30590700
ABCF2	10061	7	151208070	151226457
ABCF3	55324	3	184186207	184193697
ABCG1	9619	21	42201675	42296391
ABCG2	9429	4	88092233	88139994
ABCG4	64137	11	119149965	119161105
ABCG5	64240	2	43813115	43838678
ABCG8	64241	2	43839053	43877912
ABHD1	84696	2	27123948	27130743
ABHD10	55347	3	111979061	111991720
ABHD11	83451	7	73736558	73738796
ABHD12	26090	20	25294972	25390702
ABHD12B	145447	14	50872174	50904365
ABHD13	84945	13	108229218	108230231
ABHD14A	25864	3	51975135	51981017
ABHD14B	84836	3	51969425	51971669
ABHD15	116236	17	29562560	29566965
ABHD16A	7920	6	31687211	31703280
ABHD16B	140701	20	63861540	63862949
ABHD17A	81926	19	1877199	1881565
ABHD17B	51104	9	71862580	71875079
ABHD17C	58489	15	80695429	80754369
ABHD18	80167	4	127982955	128035812
ABHD2	11057	15	89116327	89195422
ABHD3	171586	18	21651590	21704664
ABHD4	63874	14	22598306	22610947
ABHD5	51099	3	43690992	43718531
ABHD6	57406	3	58256586	58293764
ABHD8	79575	19	17292660	17301615
ABI1	10006	10	26748569	26860862
ABI2	10152	2	203328514	203427351
ABI3	51225	17	49210724	49222714
ABI3BP	25890	3	100750494	100993404
ABL1	25	9	130714319	130885682
ABL2	27	1	179107717	179229396
ABLIM1	3983	10	114436259	114684352
ABLIM2	84448	4	7966989	8158688
ABLIM3	22885	5	149142095	149259574
ABR	29	17	1006079	1179726
ABRA	137735	8	106761036	106770189
ABRACL	58527	6	139034160	139042902
ABRAXAS1	84142	4	83462468	83485071
ABRAXAS2	23172	10	124801829	124834970
ABT1	29777	6	26596982	26598644
ABTB1	80325	3	127673025	127680474
ABTB2	25841	11	34152386	34357582
ACAA1	30	3	38123046	38137034
ACAA2	10449	18	49783846	49813483
ACACA	31	17	37087315	37406298
ACACB	32	12	109139405	109266361
ACAD10	80724	12	111692709	111756472
ACAD11	84129	3	132558970	132659750
ACAD8	27034	11	134253600	134264959
ACAD9	28976	3	128879691	128912606
ACADL	33	2	210188960	210225262
ACADM	34	1	75724787	75762762
ACADS	35	12	120725885	120739447
ACADSB	36	10	123009029	123053764
ACADVL	37	17	7217145	7225096
ACAN	176	15	88836206	88874480
ACAP1	9744	17	7336734	7351394
ACAP2	23527	3	195279327	195442846
ACAP3	116983	1	1293563	1307814
ACAT1	38	11	108121606	108147389
ACAT2	39	6	159762087	159778828
ACBD3	64746	1	226146609	226186674
ACBD4	79777	17	45136144	45143640
ACBD5	91452	10	27197429	27240687
ACBD6	84320	1	180288362	180502265
ACBD7	414149	10	15078529	15088727
ACCS	84680	11	44067627	44083791
ACCSL	390110	11	44048036	44059919
ACE	1636	17	63477094	63497365
ACE2	59272	X	15561904	15600910
ACER1	125981	19	6306713	6333550
